메뉴 이름,재료,날씨,시간,종류,분류,배달용
닭강정,"닭고기, 튀김가루, 고추장, 케첩",더움,밤,메인,한식,T
족발,"돼지고기, 팔각, 마늘, 생강, 양파, 파",더움,밤,메인,한식,T
돼지곱창구이,"돼지내장, 돼지고기",추움,밤,메인,한식,T
소곱창구이,"소내장, 소고기",추움,밤,메인,한식,T
돼지막창구이,"돼지내장, 돼지고기",추움,밤,메인,한식,T
소막창구이,"소내장, 소고기",추움,밤,메인,한식,T
순대볶음,"돼지내장, 돼지고기, 당근, 당면, 양배추, 양파, 파, 고추, 당근, 깻잎, 고추장",더움,밤,메인,한식,T
돼지오돌뼈볶음,"돼지뼈, 돼지고기, 고추장, 양파, 마늘, 파",더움,밤,메인,한식,T
잡채,"달걀, 당면, 당근, 버섯, 시금치, 양파, 돼지고기",더움,낮,반찬,한식,T
조기구이,"조기, 생선",더움,낮,반찬,한식,F
갈치구이,"갈치, 생선",더움,낮,반찬,한식,F
고등어구이,"고등어, 생선",더움,낮,반찬,한식,T
고등어조림,"고등어, 생선, 무, 파, 양파, 감자, 고추장, 고추, 마늘",추움,밤,메인,한식,T
코다리조림,"코다리, 생선, 무, 파, 양파, 감자, 고추장, 고추, 마늘",추움,밤,메인,한식,T
아귀찜,"아귀, 생선, 콩나물, 파, 미나리, 고추, 고추장",추움,밤,메인,한식,T
해물찜,"문어, 새우, 홍합, 전복, 조개, 콩나물, 마늘, 고추장, 파",추움,밤,메인,한식,T
쭈꾸미볶음,"쭈꾸미, 콩나물, 깻잎, 파, 양파, 고추, 고추장, 마늘, 당근",보통,낮,메인,한식,T
오징어볶음,"오징어, 콩나물, 깻잎, 파, 양파, 고추, 고추장, 마늘, 당근",보통,낮,메인,한식,T
간장게장,"꽃게, 마늘, 생강, 양파, 고추",보통,낮,반찬,한식,T
양념게장,"꽃게, 고추장, 고추, 양파, 생강, 파, 마늘",보통,낮,반찬,한식,T
랍스타찜,"랍스타",추움,밤,메인,양식,T
꽃게찜,"꽃게",추움,밤,메인,한식,T
대게찜,"대게",추움,밤,메인,한식,T
떡만둣국,"떡, 만두, 소고기, 마늘, 달걀, 파, 멸치, 다시마",추움,낮,국,한식,T
쫄면,"쫄면, 면, 달걀, 고추장, 오이",더움,낮,면,분식,T
수제비,"밀가루, 다시마, 멸치, 양파, 감자, 호박",추움,낮,메인,한식,T
연어스테이크,"연어, 생선, 버터",더움,밤,반찬,양식,T
차돌박이구이,"차돌박이, 소고기",더움,밤,메인,한식,T
육개장,"고사리, 무, 파, 양파, 버섯, 마늘, 고추, 파",추움,낮,국,한식,T
감자전,"감자, 밀가루",추움,낮,반찬,한식,T
두부샐러드,"두부, 파프리카, 양상추, 양배추, 방울토마토",더움,낮,반찬,양식,F
버섯리조또,"양파, 버섯, 버터, 쌀, 생크림, 마늘",보통,낮,메인,양식,T
고추장찜닭,"닭고기, 감자, 양파, 파, 마늘, 버섯, 고추장",추움,밤,메인,한식,T
간장찜닭,"닭고기, 감자, 양파, 파, 마늘, 버섯",추움,밤,메인,한식,T
양배추버섯말이,"양배추, 버섯, 당근, 오이, 소고기, 파, 마늘",보통,낮,반찬,한식,F
봉골레 파스타,"조개, 스파게티, 면, 마늘, 올리브오일",보통,낮,면,양식,T
새우완자탕,"밀가루, 새우, 마늘, 당근, 양파, 달걀",추움,낮,메인,중식,F
소고기야채죽,"쌀, 당근, 양파, 파, 버섯, 소고기",추움,낮,죽,한식,T
탕평채,"청포묵, 소고기, 달걀, 김",더움,낮 ,반찬,한식,F
크림스프,"밀가루, 버터, 생크림",추움,낮,국,양식,F
